board,from,to,results
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,62,45,0.0
2rr2k1/p3qp1p/b1p1pp2/2bp4/2P5/3QPNP1/P2N1PBP/1RR3K1 w - - 1 22,49,40,1.0
5R2/6k1/r1p5/3p2pp/P2P1p2/1P5P/2P1K1P1/8 w - - 4 43,46,54,-1.0
r1b2rk1/1p1nqppp/2p1p3/p2p4/P1PPn3/NP3NP1/4PPBP/R2Q1RK1 w - - 1 13,60,62,1.0
4k3/p2r4/P3b3/4P3/8/2P1KQp1/8/8 w - - 4 54,53,60,1.0
6k1/1p3pp1/4q3/p2p4/P2Q2PP/2P1NK2/1P6/6n1 w - - 3 42,23,6,1.0
1kr2bnr/pbpqpppp/1pn5/8/4NP2/3P1N2/PPP3PP/R1BKQB1R w kq - 1 7,59,57,0.0
r2qk2r/pp2ppbp/2n2np1/3p1b2/3P1B2/2PB1N2/PP3PPP/RN1Q1RK1 w kq - 6 9,58,37,1.0
1k6/2p4p/1n4p1/p1Q5/5P2/2P5/P1KB2q1/8 w - - 1 43,15,14,1.0
1k5r/p2r2pp/1pq2n2/5p2/2Pp4/QP1p1PP1/R3P1BP/1K5R w - - 0 24,28,19,0.0
2r1k2r/1bq2ppp/4pn2/1pb1P3/3N4/P1N1R1Q1/1PP3PP/5RK1 w k - 0 18,40,33,-1.0
r1bkqbnr/pppp2pp/2n5/4pp2/4P3/3P4/PPP2PPP/RNBKQBNR w KQkq - 1 3,57,42,1.0
2r5/pp1nkp1p/6p1/3p4/8/4P3/PP3PPP/R2BK3 w - - 0 24,59,58,0.0
2rr2k1/pbq1bppp/1n2p3/1p2P3/2pP3P/P1P2N2/1B2QPP1/1B1R1RK1 w - - 1 18,51,41,1.0
rnbkqbnr/pppp2pp/8/4pp2/8/2N5/PPPPPPPP/R1BKQBNR w KQkq - 0 2,53,37,1.0
2kr3r/pp2qpnp/2p1b1p1/3p4/n2P4/PQ1BP3/1P2NPPP/1K1R3R w - - 0 16,41,24,0.0
1r5r/bp2kp2/p3n1p1/N2pp2p/1P5N/2PP1RPP/1P2K1P1/7R w - - 0 24,42,35,0.0
r1bq1rk1/pp2ppbp/2n3p1/3pP3/3P4/2n1BN1P/PP2BPP1/R2Q1RK1 w - - 0 12,28,18,1.0
r7/4pP2/p2k2P1/4p3/1p6/8/P1P5/2Kq1B2 w - - 0 35,35,3,0.0
r4rk1/pbpp2pp/1p2pq2/3P1n2/2P1B3/P3B3/1P3PPP/R2Q1RK1 w - - 1 15,52,37,0.0
r2kr3/pppqn1pp/1bn2p2/3pp3/4PP2/2NP2P1/PPPB3P/1KR1Q1NR w K - 2 12,63,60,0.0
1k2r3/pp1n3p/3p2p1/8/2BpP3/8/PPP1K1P1/R7 w - - 0 25,50,43,1.0
r1b1k2r/ppqp1ppp/8/3pP3/3b2Q1/3B2P1/PPP4P/R3K2R w KQkq - 0 14,34,27,0.0
r1bkq2r/ppp3pp/3b1n2/3pNp2/8/1P6/PBPPP1PP/R2KQB1R w KQkq - 1 9,33,60,1.0
1k4r1/2p3p1/pp1qbnNr/5PQ1/1b2p1P1/1P6/PBPP3P/1K1R3R w - - 0 23,51,44,-1.0
r1bkqb1r/ppp2ppp/5n2/3p4/6n1/3P1N2/PPP1PQPP/RNBK1B1R w KQkq - 4 6,36,30,1.0
